Time(s);DRC 5 Média de Latency(ms);DRC 5 DesvPad de Latency(ms);DRC 10 Média de Latency(ms);DRC 10 DesvPad de Latency(ms);Total Média de Latency(ms);Total DesvPad de Latency(ms)
1;36.88;12.36491641;43.96190476;76.14762292;40.50731707;54.63238687
2;89.94;296.6027813;19.6047619;5.032343012;53.91463415;207.5255726
3;54.395;90.94272619;17.4952381;4.729003721;35.49512195;65.48593342
4;20.76;5.855577638;79.1;120.0093996;50.64146341;89.93918494
5;32.295;39.41082506;42.68571429;68.65770376;37.61707317;55.8781393
6;34.825;49.915928;21.41904762;6.708697269;27.95853659;35.38416295
7;25.065;13.45688143;40.48571429;70.56817474;32.96341463;51.35026658
8;32.645;45.84698205;36.44761905;62.26318028;34.59268293;54.22618551
9;34.445;67.18827807;18.48095238;5.174902806;26.26829268;47.14798214
10;34.39;66.25616079;42.76190476;73.61301839;38.67804878;69.37276307
11;19.62;5.076633779;20.72857143;8.871141012;20.18780488;7.204519246
12;19.07;5.976365732;20.24285714;6.003046845;19.67073171;5.944419396
13;22;5.880028643;44.7952381;76.00470036;33.67560976;55.11673421
14;29.87;26.12566997;53.51428571;89.39216568;41.9804878;66.80466383
15;20.225;5.593781792;32.27142857;64.93004807;26.39512195;46.47561162
16;23.36;18.60917714;51.40952381;94.38913552;37.72682927;69.43082177
17;16.749;4.599430056;23.52857143;18.23864422;20.22146341;13.71654066
18;18.685;6.573733618;32.26666667;63.77928608;25.64146341;45.84392531
19;22.1;14.2971473;20.08571429;5.744500476;21.06829268;10.70666706
20;43.94;71.36241381;20.01428571;5.115885624;31.68536585;50.78059453
21;35.315;41.00368757;31.85238095;58.78374451;33.54146341;50.29367244
22;24.725;16.45551819;30.3952381;53.34275467;27.62926829;39.49153228
23;34.665;66.21467698;58.48571429;87.44819201;46.86585366;77.79133502
24;19.46;5.075576192;42.82380952;71.75702687;31.42682927;52.21654443
25;56.24;102.5237451;69.01428571;101.8928814;62.78292683;101.1219632
26;19.55;9.030911827;34.12857143;65.0745276;27.01707317;47.01612969
27;22.2;7.692716993;23.53333333;25.68922602;22.88292683;18.93496636
28;25.57;19.14674907;44.82857143;77.50334924;35.43414634;57.20579783
29;64.45;94.48627024;51.66190476;88.23175435;57.9;90.4153665
30;53.675;82.86037638;29.50952381;47.58779155;41.29756098;67.40272431
31;43;73.22345037;61.2047619;103.0387669;52.32439024;89.10759165
32;34.925;66.42087398;44.13333333;65.15547815;39.64146341;65.11456433
33;19.705;7.217119632;20.12380952;5.387105416;19.9195122;6.268700803
34;34.285;41.32103167;64.42857143;98.47687111;49.72439024;76.76310566
35;41.87;69.0365967;48.31904762;89.59940635;45.17317073;79.30039415
36;48.935;79.66709864;44.63333333;72.43491101;46.73170732;75.11923335
37;22.545;20.25766846;31.68095238;46.70675132;27.22439024;36.15332475
38;38.808;66.42374033;49.05238095;89.76530855;44.05512195;78.43172748
39;28.345;28.72665139;22.3047619;18.02002986;25.25121951;23.74203153
40;36.635;66.8188539;48.00952381;84.7539197;42.46097561;75.79912888
41;17.91;4.475653437;20.28571429;7.991200518;19.12682927;6.549046663
42;39.89;67.82678325;27.86666667;30.96472724;33.73170732;51.9774299
43;21.5;13.11804703;34.17142857;65.4885039;27.9902439;47.61545865
44;33.88;67.3025502;33.91428571;64.339065;33.89756098;64.97179191
45;20.12;5.360930791;62.7047619;102.666248;41.93170732;75.81723893
46;21.315;9.732597154;19.28571429;6.419523792;20.27560976;8.164152757
47;36.075;66.76153853;41.14285714;63.04709011;38.67073171;64.11839925
48;62.93;100.3669273;43.2952381;72.26785922;52.87317073;86.57352662
49;51.975;80.46613459;27.03333333;21.04351048;39.2;58.78995663
50;20.995;6.662896083;35.20952381;56.64631413;28.27560976;40.95405829
51;19.895;10.19460513;31.11904762;57.68231635;25.64390244;41.77624354
52;18.62;5.865474361;32.12857143;65.64138285;25.53902439;47.09002484
53;45.155;76.20429933;54.55714286;85.04843074;49.97073171;79.98516814
54;46.395;81.4351694;33.24761905;46.29394797;39.66097561;65.31373086
55;23.105;20.38054994;22.71428571;7.3998166;22.90487805;14.99056289
56;25;24.67775474;20.18095238;4.640971778;22.53170732;17.49250467
57;43.395;75.20004532;36.15238095;65.82539494;39.68536585;69.75723819
58;62.935;95.65003797;34.77619048;65.13528924;48.51219512;81.67073587
59;37.97;64.07184372;41.61904762;75.79586809;39.83902439;69.46860758
60;64.42;124.4559385;47.32380952;87.22707094;55.66341463;106.0025536