Time(s);1 Média de CPU(Millicores);2 Média de CPU(Millicores);1 DesvPad de CPU(Millicores);2 DesvPad de CPU(Millicores);1 Média de Memory(MiBytes);2 Média de Memory(MiBytes);1 DesvPad de Memory(MiBytes);2 DesvPad de Memory(MiBytes)
35;;;;;;;;
40;;;;;;;;
45;;;;;;;;
50;;;;;;;;
55;;;;;;;;
60;;;;;;;;
65;;;;;;;;
70;;;;;;;;
75;;;;;;;;
80;;;;;;;;
85;;;;;;;;
90;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
95;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
100;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
105;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
110;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
115;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
120;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
125;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
130;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
135;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
140;500.3333333;500.4097222;0.577350269;1.033787215;10;7.1875;1;0.756960706
145;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
150;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
155;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
160;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
165;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
170;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
175;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
180;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
185;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
190;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
195;4.666666667;96.14583333;7.234178138;159.5959482;158;54.88888889;175.1199589;84.60993272
200;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
205;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
210;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
215;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
220;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
225;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
230;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
235;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
240;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
245;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
250;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
255;0.333333333;0.423611111;0.577350269;1.232314674;158;156.1666667;175.1199589;143.5406913
260;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
265;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
270;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
275;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
280;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
285;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
290;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
295;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
300;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
305;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
310;120.6666667;55.50694444;148.8500364;82.83955311;209.6666667;198.2777778;183.7180811;149.9624403
315;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
320;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
325;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
330;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
335;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
340;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
345;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
350;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
355;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
360;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
365;123.3333333;108.1319444;154.043284;113.7143548;209.6666667;207.1458333;183.7180811;150.2721991
370;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
375;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
380;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
385;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
390;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
395;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
400;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
405;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
410;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
415;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
420;120.6666667;108.0555556;149.3195678;113.1252031;209.6666667;207.4027778;183.7180811;150.5442025
425;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
430;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
435;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
440;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
445;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
450;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
455;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
460;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
465;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
470;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
475;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
480;119.3333333;106.7083333;148.7593134;111.7602876;209.6666667;207.3541667;183.7180811;150.6303524
485;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
490;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
495;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
500;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
505;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
510;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
515;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
520;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
525;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
530;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
535;119.3333333;106.4444444;148.7593134;111.1720633;209.6666667;207.3541667;183.7180811;150.6303524
540;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
545;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
550;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
555;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
560;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
565;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
570;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
575;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
580;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
585;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
590;120.3333333;107.5277778;150.4404644;112.8147156;209.6666667;207.3541667;183.7180811;150.6303524
595;122.3333333;107.1180556;153.8061551;112.6823307;209.6666667;207.3541667;183.7180811;150.6303524
600;122.3333333;107.1180556;153.8061551;112.6823307;209.6666667;207.3541667;183.7180811;150.6303524
