Time (s);CU CPU (Millicores);DU CPU (Millicores);K8S CPU (Millicores);OPERATOR CPU (Millicores);RU CPU (Millicores);CU MEMORY (MiBytes);DU MEMORY (MiBytes);K8S MEMORY (MiBytes);OPERATOR MEMORY (MiBytes);RU MEMORY (MiBytes)
0;;;4763;7;;;;11031;105;
5;;;4763;7;;;;11031;105;
10;;;4763;7;;;;11031;105;
15;;;4763;7;;;;11031;105;
20;;;4763;7;;;;11031;105;
25;;;4763;7;;;;11031;105;
30;;;4763;7;;;;11031;105;
35;0;0;4838;8;0;0;0;11009;105;0
40;0;0;4838;8;0;0;0;11009;105;0
45;0;0;4838;8;0;0;0;11009;105;0
50;0;0;4838;8;0;0;0;11009;105;0
55;0;0;4838;8;0;0;0;11009;105;0
60;0;0;4838;8;0;0;0;11009;105;0
65;0;0;4838;8;0;0;0;11009;105;0
70;0;0;4838;8;0;0;0;11009;105;0
75;0;0;4838;8;0;0;0;11009;105;0
80;0;0;4838;8;0;0;0;11009;105;0
85;0;0;4838;8;0;0;0;11009;105;0
90;24510;24531;6609;13;24519;349;344;11041;105;372
95;24510;24531;6609;13;24519;349;344;11041;105;372
100;24510;24531;6609;13;24519;349;344;11041;105;372
105;24510;24531;6609;13;24519;349;344;11041;105;372
110;24510;24531;6609;13;24519;349;344;11041;105;372
115;24510;24531;6609;13;24519;349;344;11041;105;372
120;24510;24531;6609;13;24519;349;344;11041;105;372
125;24510;24531;6609;13;24519;349;344;11041;105;372
130;24510;24531;6609;13;24519;349;344;11041;105;372
135;24510;24531;6609;13;24519;349;344;11041;105;372
140;24510;24531;6609;13;24519;349;344;11041;105;372
145;4871;3991;5027;8;4997;5346;2870;11021;105;162
150;4871;3991;5027;8;4997;5346;2870;11021;105;162
155;4871;3991;5027;8;4997;5346;2870;11021;105;162
160;4871;3991;5027;8;4997;5346;2870;11021;105;162
165;4871;3991;5027;8;4997;5346;2870;11021;105;162
170;4871;3991;5027;8;4997;5346;2870;11021;105;162
175;4871;3991;5027;8;4997;5346;2870;11021;105;162
180;4871;3991;5027;8;4997;5346;2870;11021;105;162
185;4871;3991;5027;8;4997;5346;2870;11021;105;162
190;4871;3991;5027;8;4997;5346;2870;11021;105;162
195;4871;3991;5027;8;4997;5346;2870;11021;105;162
200;0;62;4942;28;0;5796;17015;11014;105;151
205;0;62;4942;28;0;5796;17015;11014;105;151
210;0;62;4942;28;0;5796;17015;11014;105;151
215;0;62;4942;28;0;5796;17015;11014;105;151
220;0;62;4942;28;0;5796;17015;11014;105;151
225;0;62;4942;28;0;5796;17015;11014;105;151
230;0;62;4942;28;0;5796;17015;11014;105;151
235;0;62;4942;28;0;5796;17015;11014;105;151
240;0;62;4942;28;0;5796;17015;11014;105;151
245;0;62;4942;28;0;5796;17015;11014;105;151
250;0;62;4942;28;0;5796;17015;11014;105;151
255;0;62;4942;28;0;5796;17015;11014;105;151
260;16;6413;5097;24;1926;5797;19670;11013;105;3714
265;16;6413;5097;24;1926;5797;19670;11013;105;3714
270;16;6413;5097;24;1926;5797;19670;11013;105;3714
275;16;6413;5097;24;1926;5797;19670;11013;105;3714
280;16;6413;5097;24;1926;5797;19670;11013;105;3714
285;16;6413;5097;24;1926;5797;19670;11013;105;3714
290;16;6413;5097;24;1926;5797;19670;11013;105;3714
295;16;6413;5097;24;1926;5797;19670;11013;105;3714
300;16;6413;5097;24;1926;5797;19670;11013;105;3714
305;16;6413;5097;24;1926;5797;19670;11013;105;3714
310;16;6413;5097;24;1926;5797;19670;11013;105;3714
315;5;12793;5205;22;3143;5796;20480;11017;105;4182
320;5;12793;5205;22;3143;5796;20480;11017;105;4182
325;5;12793;5205;22;3143;5796;20480;11017;105;4182
330;5;12793;5205;22;3143;5796;20480;11017;105;4182
335;5;12793;5205;22;3143;5796;20480;11017;105;4182
340;5;12793;5205;22;3143;5796;20480;11017;105;4182
345;5;12793;5205;22;3143;5796;20480;11017;105;4182
350;5;12793;5205;22;3143;5796;20480;11017;105;4182
355;5;12793;5205;22;3143;5796;20480;11017;105;4182
360;5;12793;5205;22;3143;5796;20480;11017;105;4182
365;5;12793;5205;22;3143;5796;20480;11017;105;4182
370;39;12741;5135;11;3142;5796;20511;11022;105;4188
375;39;12741;5135;11;3142;5796;20511;11022;105;4188
380;39;12741;5135;11;3142;5796;20511;11022;105;4188
385;39;12741;5135;11;3142;5796;20511;11022;105;4188
390;39;12741;5135;11;3142;5796;20511;11022;105;4188
395;39;12741;5135;11;3142;5796;20511;11022;105;4188
400;39;12741;5135;11;3142;5796;20511;11022;105;4188
405;39;12741;5135;11;3142;5796;20511;11022;105;4188
410;39;12741;5135;11;3142;5796;20511;11022;105;4188
415;39;12741;5135;11;3142;5796;20511;11022;105;4188
420;39;12741;5135;11;3142;5796;20511;11022;105;4188
425;15;12573;5147;26;3136;5796;20514;11033;105;4178
430;15;12573;5147;26;3136;5796;20514;11033;105;4178
435;15;12573;5147;26;3136;5796;20514;11033;105;4178
440;15;12573;5147;26;3136;5796;20514;11033;105;4178
445;15;12573;5147;26;3136;5796;20514;11033;105;4178
450;15;12573;5147;26;3136;5796;20514;11033;105;4178
455;15;12573;5147;26;3136;5796;20514;11033;105;4178
460;15;12573;5147;26;3136;5796;20514;11033;105;4178
465;15;12573;5147;26;3136;5796;20514;11033;105;4178
470;15;12573;5147;26;3136;5796;20514;11033;105;4178
475;15;12573;5147;26;3136;5796;20514;11033;105;4178
480;15;12573;5147;26;3136;5796;20514;11033;105;4178
485;0;12513;5145;21;3173;5796;20514;11024;105;4178
490;0;12513;5145;21;3173;5796;20514;11024;105;4178
495;0;12513;5145;21;3173;5796;20514;11024;105;4178
500;0;12513;5145;21;3173;5796;20514;11024;105;4178
505;0;12513;5145;21;3173;5796;20514;11024;105;4178
510;0;12513;5145;21;3173;5796;20514;11024;105;4178
515;0;12513;5145;21;3173;5796;20514;11024;105;4178
520;0;12513;5145;21;3173;5796;20514;11024;105;4178
525;0;12513;5145;21;3173;5796;20514;11024;105;4178
530;0;12513;5145;21;3173;5796;20514;11024;105;4178
535;0;12513;5145;21;3173;5796;20514;11024;105;4178
540;0;12685;5152;9;3160;5796;20514;11026;105;4178
545;0;12685;5152;9;3160;5796;20514;11026;105;4178
550;0;12685;5152;9;3160;5796;20514;11026;105;4178
555;0;12685;5152;9;3160;5796;20514;11026;105;4178
560;0;12685;5152;9;3160;5796;20514;11026;105;4178
565;0;12685;5152;9;3160;5796;20514;11026;105;4178
570;0;12685;5152;9;3160;5796;20514;11026;105;4178
575;0;12685;5152;9;3160;5796;20514;11026;105;4178
580;0;12685;5152;9;3160;5796;20514;11026;105;4178
585;0;12685;5152;9;3160;5796;20514;11026;105;4178
590;0;12685;5152;9;3160;5796;20514;11026;105;4178
595;0;12652;5200;15;3140;5796;20514;11033;105;4178
600;0;12652;5200;15;3140;5796;20514;11033;105;4178
