Time(s);5;8;10
1;37.35;23;24.6
2;23.85;19;21.2
3;19.6;16.6;17.1
4;17.75;19.2;15.1
5;17.75;22.8;18.8
6;15.85;19.2;19
7;19.85;17;20.6
8;17.85;18.7;18.8
9;19.05;18.9;17.8
10;18.2;22.9;18.7
11;25.7;19;18.1
12;20.6;18.2;17.8
13;19.7;18.1;15.9
14;18.35;17.1;16.4
15;18.9;16;19.8
16;18.55;20.1;18.2
17;16.75;23.5;16.9
18;16.45;20;17.4
19;19.9;16.1;17.8
20;18.3;17.6;18.6
21;18.5;16.9;17.7
22;16.55;19.8;16.2
23;17.35;18.8;18.1
24;16.9;20.2;19.1
25;18.5;16.5;17.7
26;18.6;15.3;51.2
27;18.4;19.5;18.5
28;18.1;20.6;16.7
29;16.05;18.5;19.1
30;18.95;19.7;16.6
31;17.5;18.5;18.3
32;19.6;18.7;18.6
33;19.5;14.7;18.4
34;16.85;18.8;17.2
35;16.3;21;16.4
36;19.25;18;17.1
37;17.9;19.3;17.8
38;18.45;17.6;16.2
39;19.35;18.7;14.8
40;16.3;18.7;23.2
41;23.35;15.6;19.4
42;18.1;19.9;17.2
43;16.8;16;16.7
44;20.3;23.1;19.2
45;17.6;17.6;16.9
46;16.3;19.9;16.2
47;20;16.9;16.5
48;40.7;15.7;20.3
49;22.85;18.2;15.9
50;19.55;20.9;16.1
51;16.6;17.2;18.8
52;16.9;16.8;18.4
53;18;18.3;18.6
54;17.8;18.9;17.1
55;18.2;14.9;17
56;20.35;21.5;17.6
57;17.3;20.1;18.5
58;17.95;18.8;17.2
59;18.7;18;19.2
60;16.8;17.5;15.2
61;18.2;16;15.8
62;19.15;19;17.4
63;16.5;17.6;17.2
64;18.2;23.7;18.5
65;19;49;17
66;18.1;17.6;16.8
67;16.8;20;18.9
68;16.9;18;18.8
69;18.5;17.3;44.9
70;19.85;16.9;19.9
71;17.4;18.9;17.2
72;17.3;16;15.4
73;17.9;17.6;18.3
74;18.4;23.2;19.7
75;20.85;16.8;17.5
76;17.45;16.7;15.8
77;18.55;17.8;17.7
78;17.6;16.5;18.5
79;18.1;18.8;17.9
80;17.35;17.6;14.8
81;18.8;17.1;15.4
82;18.4;32.9;16.9
83;21;17.8;16
84;25.4;16.4;19
85;19.25;20;19.3
86;19.35;17.7;21.6
87;18.45;15.8;16
88;19.3;17.1;20
89;17;16.7;17.8
90;17.25;21;18.3
91;17.85;18.5;19.6
92;19;19.3;18
93;17.65;17.8;16.8
94;19.05;15.5;17.1
95;33;14.4;19.8
96;16.45;18.7;20.2
97;24.5;20;20.1
98;16.15;22.8;19.1
99;18.25;17.6;17.8
100;17.4;19;46
101;18.85;16.6;17.2
102;17.35;20;20.8
103;17.25;20.6;18.7
104;19.25;16.6;18.3
105;17.05;16.1;17.6
106;16.65;15.3;17.9
107;17.2;19.2;16.1
108;19.3;16.2;21.6
109;18.1;21;19.5
110;16.8;16.5;19.1
111;20.8;16.1;19
112;16.5;16;16.9
113;18.05;17.2;15.2
114;19.15;39.8;19.3
115;17.15;16.7;17.2
116;18.75;16.9;19
117;17.95;15.9;16.7
118;15.85;16.8;17.3
119;18.5;21.4;19.7
120;16.8;48.2;17.2